7725.510003,65.703787
7635.779997,66.373068
7648.140008,72.441914
7629.299995,80.702096
7691.030001,69.802680
7612.309996,62.710891
7631.630000,64.870114
7591.360006,63.254101
7597.669997,63.328635
7674.559993,64.784263
11164916.755993,1841.022672
11101315.076846,1887.674311
11135546.964547,1811.805373
11133336.384130,1723.441074
11144941.267551,1798.778806
11108103.431587,1718.511292
11111594.534275,1845.721549
11107570.523181,1998.343318
11123687.194978,1971.481915
11113872.404176,1645.928961
24611624.000000,5180.290526
24618636.000000,4635.036328
43018486.000000,7068.316284
43027896.000000,6703.207470
43028289.000000,7796.272905
66585254.000000,11301.360835
66583240.000000,10958.291597
