7580.260000,51.665229
7545.019990,51.748954
7536.669999,51.333275
7583.539988,52.005910
7519.449997,51.940975
7489.759994,51.245859
7584.189999,51.962806
7556.080000,52.049648
7533.749993,52.426333
7600.520001,52.174008
11026736.185482,898.402224
11016958.260419,899.387681
11004106.878733,895.720192
11012429.293465,895.629664
11015982.808949,891.362478
10997206.561551,897.271008
11045205.116336,931.229722
11062957.944312,929.987514
11048552.725490,928.022731
10972654.129852,929.090616
24330309.000000,2126.804699
24310583.000000,2022.310196
42649946.000000,3202.914108
segfault
42585978.000000,3427.054561
65859821.000000,4856.166810
65906104.000000,4586.882314
