7519.880007,46.310471
7573.929998,46.288147
7557.150004,45.722903
7566.979995,45.985341
7527.719986,46.339755
7567.770004,46.687973
7583.480005,45.455142
7563.780014,46.862772
7507.849991,46.552501
7576.269985,46.200150
11055047.714064,806.101255
11045522.283878,799.292106
11044482.999154,794.222092
11035353.870328,797.649866
11079611.223619,800.724761
11014320.751498,803.945583
11053538.480703,805.372020
11030018.089439,835.100494
11076654.121985,830.680772
11057537.070895,841.926239
24394730.000000,1947.977298
24407180.000000,1943.011201
42727660.000000,2921.072412
42717055.000000,2920.784185
42738051.000000,2922.535953
66058147.000000,4378.553674
66172529.000000,4185.175157
66178118.000000,4150.857147
